El Mundo en Cifras
Evolución del número de fallecidos
Año;Periodos;España;
2021;dic-24;;
2021;dic-25;;
2021;dic-26;;
2021;dic-27;89139;
2021;dic-28;89253;
2021;dic-29;89331;
2021;dic-30;89405;
2021;dic-31;;
2022;ene-01;;
2022;ene-02;;
2022;ene-03;89573;
2022;ene-04;89689;
2022;ene-05;89837;
2022;ene-06;;
2022;ene-07;89934;
2022;ene-08;;
2022;ene-09;;
2022;ene-10;90136;
2022;ene-11;90383;
2022;ene-12;;
2022;ene-13;;
2022;ene-14;90759;
2022;ene-15;;
2022;ene-16;;
2022;ene-17;90993;
2022;ene-18;91277;
2022;ene-19;91437;
2022;ene-20;91599;
2022;ene-21;91741;
2022;ene-22;;
2022;ene-23;;
2022;ene-24;91994;
2022;ene-25;92376;
2022;ene-26;92591;
2022;ene-27;92767;
2022;ene-28;92966;
2022;ene-29;;
2022;ene-30;;
2022;ene-31;93225;
2022;feb-01;93633;
2022;feb-02;93857;
2022;feb-03;94040;
2022;feb-04;94235;
2022;feb-05;;
2022;feb-06;;
2022;feb-07;94570;
2022;feb-08;94931;
2022;feb-09;95213;
2022;feb-10;95606;
2022;feb-11;95995;
2022;feb-12;;
2022;feb-13;;
2022;feb-14;96596;
2022;feb-15;96906;
2022;feb-16;97350;
2022;feb-17;97710;
2022;feb-18;97998;
2022;feb-19;;
2022;feb-20;;
2022;feb-21;98462;
2022;feb-22;98635;
2022;feb-23;98936;
2022;feb-24;99162;
2022;feb-25;99410;
2022;feb-26;;
2022;feb-27;;
2022;feb-28;;
2022;feb-29;;
2022;mar-01;99883;
2022;mar-02;100037;
2022;mar-03;100239;
2022;mar-04;100413;
2022;mar-05;;
2022;mar-06;;
2022;mar-07;100574;
2022;mar-08;100859;
2022;mar-09;100992;
2022;mar-10;101077;
2022;mar-11;101135;
2022;mar-12;;
2022;mar-13;;
2022;mar-14;;
2022;mar-15;101416;
2022;mar-16;;
2022;mar-17;;
2022;mar-18;101703;
2022;mar-19;;
2022;mar-20;;
2022;mar-21;;
2022;mar-22;102053;
2022;mar-23;;
2022;mar-24;;
2022;mar-25;102392;
2022;mar-26;;
2022;mar-27;;
2022;mar-28;;
2022;mar-29;102218;
2022;mar-30;;
2022;mar-31;;
2022;abr-01;102541;
2022;abr-02;;
2022;abr-03;;
2022;abr-04;;
2022;abr-05;102747;
2022;abr-06;;
2022;abr-07;;
2022;abr-08;103104;
2022;abr-09;;
2022;abr-10;;
2022;abr-11;;
2022;abr-12;103266;
2022;abr-13;;
2022;abr-14;;
2022;abr-15;;
2022;abr-16;;
2022;abr-17;;
2022;abr-18;;
2022;abr-19;103721;
2022;abr-20;;
2022;abr-21;;
2022;abr-22;103908;
2022;abr-23;;
2022;abr-24;;
2022;abr-25;;
2022;abr-26;104227;
2022;abr-27;;
2022;abr-28;;
2022;abr-29;104456;
2022;abr-30;;
2022;may-01;;
2022;may-02;;
2022;may-03;104668;
2022;may-04;;
2022;may-05;;
2022;may-06;104869;
2022;may-07;;
2022;may-08;;
2022;may-09;;
2022;may-10;105123;
2022;may-11;;
2022;may-12;;
2022;may-13;105444;
2022;may-14;;
2022;may-15;105642;
2022;may-16;;
2022;may-17;;
2022;may-18;;
2022;may-19;;
2022;may-20;105947;
2022;may-21;;
2022;may-22;;
2022;may-23;;
2022;may-24;106105;
2022;may-25;;
2022;may-26;;
2022;may-27;106341;
2022;may-28;;
2022;may-29;;
2022;may-30;;
2022;may-31;106493;
2022;jun-01;;
2022;jun-02;;
2022;jun-03;106797;
2022;jun-04;;
2022;jun-05;;
2022;jun-06;;
2022;jun-07;106914;
2022;jun-08;;
2022;jun-09;;
2022;jun-10;107108;
2022;jun-11;;
2022;jun-12;;
2022;jun-13;;
2022;jun-14;107239;
2022;jun-15;;
2022;jun-16;;
2022;jun-17;107482;
2022;jun-18;;
2022;jun-19;;
2022;jun-20;;
2022;jun-21;107604;
2022;jun-22;;
2022;jun-23;;
2022;jun-24;107799;
2022;jun-25;;
2022;jun-26;;
2022;jun-27;;
2022;jun-28;107906;
2022;jun-29;;
2022;jun-30;;
2022;jul-01;108111;
2022;jul-02;;
2022;jul-03;;
2022;jul-04;;
2022;jul-05;108259;
2022;jul-06;;
2022;jul-07;;
2022;jul-08;108730;
2022;jul-09;;
2022;jul-10;;
2022;jul-11;;
2022;jul-12;108948;
2022;jul-13;;
2022;jul-14;;
2022;jul-15;;
2022;jul-16;;
2022;jul-17;;
2022;jul-18;;
2022;jul-19;109642;
2022;jul-20;;
2022;jul-21;;
2022;jul-22;110187;
2022;jul-23;;
2022;jul-24;;
2022;jul-25;;
2022;jul-26;110394;
2022;jul-27;;
2022;jul-28;;
2022;jul-29;110719;
2022;jul-30;;
2022;jul-31;;
2022;ago-01;;
2022;ago-02;110713;
2022;ago-03;;
2022;ago-04;;
2022;ago-05;111094;
2022;ago-06;;
2022;ago-07;;
2022;ago-08;;
2022;ago-09;111339;
2022;ago-10;;
2022;ago-11;;
2022;ago-12;111667;
2022;ago-13;;
2022;ago-14;;
2022;ago-15;;
2022;ago-16;111906;
2022;ago-17;;
2022;ago-18;;
2022;ago-19;112128;
2022;ago-20;;
2022;ago-21;;
2022;ago-22;;
2022;ago-23;112246;
2022;ago-24;;
2022;ago-25;;
2022;ago-26;112454;
2022;ago-27;;
2022;ago-28;;
2022;ago-29;;
2022;ago-30;112600;
2022;ago-31;;
2022;sep-01;;
2022;sep-02;112804;
2022;sep-03;;
2022;sep-04;;
2022;sep-05;;
2022;sep-06;112923;
2022;sep-07;;
2022;sep-08;;
2022;sep-09;113130;
2022;sep-10;;
2022;sep-11;;
2022;sep-12;;
2022;sep-13;113279;
2022;sep-14;;
2022;sep-15;;
2022;sep-16;113725;
2022;sep-17;;
2022;sep-18;;
2022;sep-19;;
2022;sep-20;113845;
2022;sep-21;;
2022;sep-22;;
2022;sep-23;114009;
2022;sep-24;;
2022;sep-25;;
2022;sep-26;;
2022;sep-27;114084;
2022;sep-28;;
2022;sep-29;;
2022;sep-30;114179;
2022;oct-01;;
2022;oct-02;;
2022;oct-03;;
2022;oct-04;114262;
2022;oct-05;;
2022;oct-06;;
2022;oct-07;114468;
2022;oct-08;;
2022;oct-09;;
2022;oct-10;;
2022;oct-11;;
2022;oct-12;;
2022;oct-13;;
2022;oct-14;114641;
2022;oct-15;;
2022;oct-16;;
2022;oct-17;;
2022;oct-18;;
2022;oct-19;;
2022;oct-20;;
2022;oct-21;114858;
2022;oct-22;;
2022;oct-23;;
2022;oct-24;;
2022;oct-25;;
2022;oct-26;;
2022;oct-27;;
2022;oct-28;115078;
2022;oct-29;;
2022;oct-30;;
2022;oct-31;;
2022;nov-01;;
2022;nov-02;;
2022;nov-03;;
2022;nov-04;115239;
2022;nov-05;;
2022;nov-06;;
2022;nov-07;;
2022;nov-08;;
2022;nov-09;;
2022;nov-10;;
2022;nov-11;115357;
2022;nov-12;;
2022;nov-13;;
2022;nov-14;;
2022;nov-15;;
2022;nov-16;;
2022;nov-17;;
2022;nov-18;115641;
2022;nov-19;;
2022;nov-20;;
2022;nov-21;;
2022;nov-22;;
2022;nov-23;;
2022;nov-24;;
2022;nov-25;115901;
2022;nov-26;;
2022;nov-27;;
2022;nov-28;;
2022;nov-29;;
2022;nov-30;;
2022;dic-01;;
2022;dic-02;116108;
2022;dic-03;;
2022;dic-04;;
2022;dic-05;;
2022;dic-06;;
2022;dic-07;;
2022;dic-08;;
2022;dic-09;116422;
