El Mundo en Cifras
Evolución de los casos de COVID-19
Año;Periodos;España;
2021;ago-18;4745558;
2021;ago-19;4758003;
2021;ago-20;4770453;
2021;ago-21;;
2021;ago-22;;
2021;ago-23;4794352;
2021;ago-24;4804424;
2021;ago-25;4815205;
2021;ago-26;4822320;
2021;ago-27;4831809;
2021;ago-28;;
2021;ago-29;;
2021;ago-30;4847298;
2021;ago-31;4855065;
2021;sep-01;4861883;
2021;sep-02;4871444;
2021;sep-03;4877755;
2021;sep-04;;
2021;sep-05;;
2021;sep-06;4887394;
2021;sep-07;4892640;
2021;sep-08;4898258;
2021;sep-09;4903021;
2021;sep-10;4907461;
2021;sep-11;;
2021;sep-12;;
2021;sep-13;4915265;
2021;sep-14;4918526;
2021;sep-15;4922249;
2021;sep-16;4926324;
2021;sep-17;4929546;
2021;sep-18;;
2021;sep-19;;
2021;sep-20;4935534;
2021;sep-21;4937984;
2021;sep-22;4940824;
2021;sep-23;4943855;
2021;sep-24;4946601;
2021;sep-25;;
2021;sep-26;;
2021;sep-27;4951640;
2021;sep-28;4953930;
2021;sep-29;4956691;
2021;sep-30;4959091;
2021;oct-01;4961128;
2021;oct-02;;
2021;oct-03;;
2021;oct-04;4965399;
2021;oct-05;4967200;
2021;oct-06;4969503;
2021;oct-07;4971310;
2021;oct-08;4973619;
2021;oct-09;;
2021;oct-10;;
2021;oct-11;4977448;
2021;oct-12;;
2021;oct-13;4980206;
2021;oct-14;4982138;
2021;oct-15;4984386;
2021;oct-16;;
2021;oct-17;;
2021;oct-18;4988878;
2021;oct-19;4990767;
2021;oct-20;4993295;
2021;oct-21;4995176;
2021;oct-22;4997732;
2021;oct-23;;
2021;oct-24;;
2021;oct-25;5002217;
2021;oct-26;5004143;
2021;oct-27;5006675;
2021;oct-28;5008887;
2021;oct-29;5011148;
2021;oct-30;;
2021;oct-31;;
2021;nov-01;;
2021;nov-02;5016968;
2021;nov-03;5019255;
2021;nov-04;5022546;
2021;nov-05;5025639;
2021;nov-06;;
2021;nov-07;;
2021;nov-08;5032056;
2021;nov-09;;
2021;nov-10;5038517;
2021;nov-11;5042803;
2021;nov-12;5047156;
2021;nov-13;;
2021;nov-14;;
2021;nov-15;5056954;
2021;nov-16;;
2021;nov-17;5067712;
2021;nov-18;5074027;
2021;nov-19;5080663;
2021;nov-20;;
2021;nov-21;;
2021;nov-22;5096538;
2021;nov-23;5103315;
2021;nov-24;5111842;
2021;nov-25;5121100;
2021;nov-26;5131012;
2021;nov-27;;
2021;nov-28;;
2021;nov-29;5153923;
2021;nov-30;5164184;
2021;dic-01;5174720;
2021;dic-02;5189220;
2021;dic-03;5202958;
2021;dic-04;;
2021;dic-05;;
2021;dic-06;;
2021;dic-07;5246766;
2021;dic-08;;
2021;dic-09;5273178;
2021;dic-10;5290190;
2021;dic-11;;
2021;dic-12;;
2021;dic-13;5339992;
2021;dic-14;5366128;
2021;dic-15;5393268;
2021;dic-16;5422168;
2021;dic-17;5455527;
2021;dic-18;;
2021;dic-19;;
2021;dic-20;5535231;
2021;dic-21;5585054;
2021;dic-22;5645095;
2021;dic-23;5718007;
2021;dic-24;;
2021;dic-25;;
2021;dic-26;;
2021;dic-27;5932626;
2021;dic-28;6032297;
2021;dic-29;6133057;
2021;dic-30;6294745;
2021;dic-31;;
2022;ene-01;;
2022;ene-02;;
2022;ene-03;6667511;
2022;ene-04;6785286;
2022;ene-05;6922466;
2022;ene-06;;
2022;ene-07;7164906;
2022;ene-08;;
2022;ene-09;;
2022;ene-10;7457300;
2022;ene-11;7592242;
2022;ene-12;;
2022;ene-13;;
2022;ene-14;8093036;
2022;ene-15;;
2022;ene-16;;
2022;ene-17;8424503;
2022;ene-18;8518975;
2022;ene-19;8676916;
2022;ene-20;8834363;
2022;ene-21;8975458;
2022;ene-22;;
2022;ene-23;;
2022;ene-24;9280890;
2022;ene-25;9395767;
2022;ene-26;9529320;
2022;ene-27;9660208;
2022;ene-28;9779130;
2022;ene-29;;
2022;ene-30;;
2022;ene-31;9961253;
2022;feb-01;10039126;
2022;feb-02;10125348;
2022;feb-03;10199716;
2022;feb-04;10274653;
2022;feb-05;;
2022;feb-06;;
2022;feb-07;10395471;
2022;feb-08;10439302;
2022;feb-09;10502141;
2022;feb-10;10555196;
2022;feb-11;10604200;
2022;feb-12;;
2022;feb-13;;
2022;feb-14;10672906;
2022;feb-15;10707286;
2022;feb-16;10744394;
2022;feb-17;10778607;
2022;feb-18;10809222;
2022;feb-19;;
2022;feb-20;;
2022;feb-21;10858000;
2022;feb-22;10880194;
2022;feb-23;10914105;
2022;feb-24;10949997;
2022;feb-25;10977524;
2022;feb-26;;
2022;feb-27;;
2022;feb-28;;
2022;feb-29;;
2022;mar-01;11036085;
2022;mar-02;11054888;
2022;mar-03;11078028;
2022;mar-04;11100428;
2022;mar-05;;
2022;mar-06;;
2022;mar-07;11136425;
2022;mar-08;11159574;
2022;mar-09;11181510;
2022;mar-10;11204125;
2022;mar-11;11223974;
2022;mar-12;;
2022;mar-13;;
2022;mar-14;;
2022;mar-15;11260040;
2022;mar-16;;
2022;mar-17;;
2022;mar-18;11324637;
2022;mar-19;;
2022;mar-20;;
2022;mar-21;;
2022;mar-22;11378784;
2022;mar-23;;
2022;mar-24;;
2022;mar-25;11451676;
2022;mar-26;;
2022;mar-27;;
2022;mar-28;;
2022;mar-29;11508309;
2022;mar-30;;
2022;mar-31;;
2022;abr-01;11551574;
2022;abr-02;;
2022;abr-03;;
2022;abr-04;;
2022;abr-05;11578653;
2022;abr-06;;
2022;abr-07;;
2022;abr-08;11627487;
2022;abr-09;;
2022;abr-10;;
2022;abr-11;;
2022;abr-12;11662214;
2022;abr-13;;
2022;abr-14;;
2022;abr-15;;
2022;abr-16;;
2022;abr-17;;
2022;abr-18;;
2022;abr-19;11736893;
2022;abr-20;;
2022;abr-21;;
2022;abr-22;11786036;
2022;abr-23;;
2022;abr-24;;
2022;abr-25;;
2022;abr-26;11833457;
2022;abr-27;;
2022;abr-28;;
2022;abr-29;11896152;
2022;abr-30;;
2022;may-01;;
2022;may-02;;
2022;may-03;11953481;
2022;may-04;;
2022;may-05;;
2022;may-06;12009059;
2022;may-07;;
2022;may-08;;
2022;may-09;;
2022;may-10;12058888;
2022;may-11;;
2022;may-12;;
2022;may-13;12127122;
2022;may-14;;
2022;may-15;12179234;
2022;may-16;;
2022;may-17;;
2022;may-18;;
2022;may-19;;
2022;may-20;12238073;
2022;may-21;;
2022;may-22;;
2022;may-23;;
2022;may-24;12280345;
2022;may-25;;
2022;may-26;;
2022;may-27;12326264;
2022;may-28;;
2022;may-29;;
2022;may-30;;
2022;may-31;12360256;
2022;jun-01;;
2022;jun-02;;
2022;jun-03;12403245;
2022;jun-04;;
2022;jun-05;;
2022;jun-06;;
2022;jun-07;12436538;
2022;jun-08;;
2022;jun-09;;
2022;jun-10;12478994;
2022;jun-11;;
2022;jun-12;;
2022;jun-13;;
2022;jun-14;12515127;
2022;jun-15;;
2022;jun-16;;
2022;jun-17;12563399;
2022;jun-18;;
2022;jun-19;;
2022;jun-20;;
2022;jun-21;12613634;
2022;jun-22;;
2022;jun-23;;
2022;jun-24;12681820;
2022;jun-25;;
2022;jun-26;;
2022;jun-27;;
2022;jun-28;12734038;
2022;jun-29;;
2022;jun-30;;
